Desa;Sekolah (Negeri);Sekolah (Swasta);Murid (L);Murid (P);Jumlah;Guru
Kles em;-;2.0;38.0;62.0;100.0;6.0
Bodas;-;3.0;75.0;117.0;192.0;11.0
Gem bong;-;7.0;201.0;248.0;449.0;23.0
Sukoharjo;-;8.0;237.0;276.0;513.0;41.0
Garungwiyoro;-;5.0;110.0;131.0;241.0;16.0
Bubak;-;5.0;125.0;136.0;261.0;23.0
Bojongkoneng;-;5.0;137.0;145.0;282.0;15.0
Luragung;-;9.0;255.0;235.0;490.0;30.0
Kandangs erang;-;2.0;63.0;96.0;159.0;7.0
Wangkelang;-;4.0;123.0;133.0;256.0;12.0
Lam bur;-;5.0;236.0;259.0;495.0;11.0
Tajur;-;2.0;61.0;82.0;143.0;9.0
Trajum as;-;4.0;105.0;141.0;233.0;7.0
Karanggondang;-;4.0;89.0;125.0;206.0;10.0
Jumlah;0.0;65.0;1855.0;2186.0;4020.0;221.0
