Realisasi Pelaksanaan Anggaran Pendapatan Desa di Kecamatan Wonotunggal, 2017 (Rupiah)	Desa	Pendapatan Asli Desa	Alokasi Dana Desa	Dana Desa
No	Desa	Pendapatan Asli Desa	Alokasi Dana Desa	Dana Desa
1.0	Silurah	5 040 000	357 174 400	827 765 000
2.0	Sodong	12 450 000	356 076 300	784 458 000
3.0	Gringgingsari	15 000 000	315 944 800	791 413 000
4.0	Kedungmalang	20 200 000	355 934 600	804 344 000
5.0	Sendang	27 900 000	363 989 500	782 569 000
6.0	Wonotunggal	25 200 000	457 609 900	815 455 000
7.0	Brokoh	46 800 000	359 883 200	768 463 000
8.0	Wates	63 500 000	419 898 400	782 494 000
9.0	Brayo	31 200 000	278 305 300	753 056 000
10.0	Kemligi	30 000 000	352 258 500	760 101 000
11.0	Sigayam	41 400 000	319 576 600	766 130 000
12.0	Kreyo	18 000 000	346 862 800	770 011 000
13.0	Siwatu	56 400 000	430 045 900	788 699 000
14.0	Dringo	68 400 000	408 840 800	766 367 000
15.0	Penangkan	21 600 000	368 503 600	772 177 000
Jumlah				
		483 090 000	5 490 904 600	11 733 502 
